Data e hora,Pressão - PC 52 (mca),Pressao - PM D52 (mca),Vazao (L/s),Ano,Mes,Dia,Dia da Semana,Horario,Turno,Estacao
2021-03-11T10:45:00Z,3.8,4.7,208.348434448242,2021,3,11,Quinta,10:45:00,Manha,Verao
2021-03-11T11:00:00Z,4.5,5,222.238800048828,2021,3,11,Quinta,11:00:00,Manha,Verao
2021-03-11T11:15:00Z,5.4,5.5,222.238800048828,2021,3,11,Quinta,11:15:00,Manha,Verao
2021-03-11T11:30:00Z,5.7,6.5,232.570343017578,2021,3,11,Quinta,11:30:00,Manha,Verao
2021-03-11T11:45:00Z,5.6,7.5,232.573654174805,2021,3,11,Quinta,11:45:00,Manha,Verao
2021-03-11T12:00:00Z,5.6,7.7,250.017166137695,2021,3,11,Quinta,12:00:00,Tarde,Verao
2021-03-11T12:15:00Z,5.7,7.4,232.530746459961,2021,3,11,Quinta,12:15:00,Tarde,Verao
2021-03-11T12:30:00Z,5.7,7.5,208.325912475586,2021,3,11,Quinta,12:30:00,Tarde,Verao
2021-03-11T12:45:00Z,5.7,7.5,232.580261230469,2021,3,11,Quinta,12:45:00,Tarde,Verao
2021-03-11T13:00:00Z,6,7.4,196.094619750977,2021,3,11,Quinta,13:00:00,Tarde,Verao
2021-03-11T13:15:00Z,5.9,7.9,217.412643432617,2021,3,11,Quinta,13:15:00,Tarde,Verao
2021-03-11T13:30:00Z,5.7,8.5,217.409774780273,2021,3,11,Quinta,13:30:00,Tarde,Verao
2021-03-11T13:45:00Z,5.7,7.6,243.920227050781,2021,3,11,Quinta,13:45:00,Tarde,Verao
2021-03-11T14:00:00Z,5.6,7.5,217.398223876953,2021,3,11,Quinta,14:00:00,Tarde,Verao
2021-03-11T14:15:00Z,5.4,7.5,212.775085449219,2021,3,11,Quinta,14:15:00,Tarde,Verao
2021-03-11T14:30:00Z,5.7,7.4,227.296691894531,2021,3,11,Quinta,14:30:00,Tarde,Verao
2021-03-11T14:45:00Z,5.6,7.4,222.103225708008,2021,3,11,Quinta,14:45:00,Tarde,Verao
2021-03-11T15:00:00Z,5.7,7.6,238.233032226563,2021,3,11,Quinta,15:00:00,Tarde,Verao
2021-03-11T15:15:00Z,6.3,7.6,188.668823242188,2021,3,11,Quinta,15:15:00,Tarde,Verao
2021-03-11T15:30:00Z,6.8,7.9,178.490493774414,2021,3,11,Quinta,15:30:00,Tarde,Verao
2021-03-11T15:45:00Z,7.4,8.8,222.186065673828,2021,3,11,Quinta,15:45:00,Tarde,Verao
